Country_name,Country_code,Days,Cost_of _living,Class,Ticket_price
Taiwan,158,7,14988.8675,2,246890
Tajikistan,762,7,7258.53,2,65000
"Tanzania, United Republic of",834,7,8612.4025,2,124656
Thailand,764,7,10165.4,2,188573
Timor-Leste,626,7,13848.1725,2,105000
Trinidad and Tobago,780,7,12855.2175,2,300379
Tunisia,788,7,6660.125,2,125202
Turkey,792,7,7580.0175,2,109075
Turkmenistan,795,7,32575.855,2,63000
Uganda,800,7,8794.975,2,97334
Ukraine,804,7,7726.8375,2,97315
United Arab Emirates,784,7,15470.225,2,322871
United Kingdom,826,7,16350.805,2,93817
United States Of America,840,7,17080.8525,2,231961
Uruguay,858,7,12325.535,2,115220
Uzbekistan,860,7,7036.3575,2,153755
Vanuatu,548,7,18831.04,2,25000
Venezuela,862,7,9357.7,2,257598
Vietnam,704,7,8166.2375,2,183775
Yemen,887,7,12452.8525,2,0
Zambia,894,7,8756.0925,2,129491
Zimbabwe,716,7,10891.88,2,180599
